Transaction Number,Date,Quantity,Product,CommissionType,Value,Status,Total,SellerId
mtl-12491,2022-03-20 9:21,1,Satellite Phone,Gold,4,Processing,$259.99,29948
mtl-12492,2022-09-18 6:49,1,Wireless Video Doorbell,Gold,4,Processing,$159.99,147
mtl-12493,2022-08-31 1:36,4,Wireless Keyboard,Gold,4,Processing,$239.96,30016
mtl-12494,2022-04-24 5:32,4,Network Switch,Bronze,2,Pending,$639.96,29764
mtl-12495,2022-12-05 23:17,5,Smartwatch,Silver,3,Paid,"$1,049.95",366
mtl-12496,2022-05-11 4:28,1,Wireless Game Controller,Gold,4,Paid,$59.99,180
mtl-12497,2022-04-27 9:58,1,Wireless Router,Silver,3,Processing,$59.99,272
mtl-12498,2022-03-10 17:17,1,Wireless Backup Drive,Silver,3,Pending,$159.99,613
mtl-12499,2022-05-04 18:38,5,Bluetooth Speaker,Bronze,2,Paid,$299.95,489
mtl-12500,2022-01-20 14:40,3,Smart Home Security System,Silver,3,Processing,"$1,529.97",291
mtl-12501,2023-04-09 20:34,1,Wireless Audio Receiver,Gold,4,Pending,$75.00,493
mtl-12502,2022-04-21 1:44,5,Wireless Game Controller,Gold,4,Processing,$299.95,563
mtl-12503,2022-09-03 10:23,2,Wireless Home Surveillance System,Bronze,2,Processing,$619.98,275
mtl-12504,2022-07-17 20:42,3,Streaming Media Player,Gold,4,Processing,$225.00,29834
mtl-12505,2023-04-04 9:50,1,Wireless Speaker,Bronze,2,Pending,$75.00,461
mtl-12506,2023-04-12 9:01,3,Wireless Home Automation System,Silver,3,Paid,"$1,529.97",644
mtl-12507,2022-02-09 7:51,2,Smart Home Appliance,Gold,4,Paid,$519.98,380
mtl-12508,2022-11-15 19:52,2,Smart Home Camera,Gold,4,Paid,$219.98,29944
mtl-12509,2022-05-21 9:29,4,Smart Home Lighting,Gold,4,Processing,$300.00,29651
mtl-12510,2023-02-27 23:36,5,Wireless Mouse,Gold,4,Pending,$125.00,621
mtl-12511,2022-09-23 21:45,4,VoIP Phone,Bronze,2,Processing,$639.96,29764
mtl-12512,2023-04-21 15:15,5,Wireless Mouse,Silver,3,Pending,$125.00,47
mtl-12513,2022-02-05 22:46,1,Wireless Audio Receiver,Silver,3,Pending,$75.00,29646
mtl-12514,2022-12-22 11:39,2,Cell Phone,Gold,4,Paid,$219.98,10
